应用名称,应用简介,详情链接
腾讯文档,【应用描述】 -----腾讯文档是什么？----- 腾讯文档是一款可协作的云端Office工具，拥有Word/Excel/PPT/PDF/收集表,https://lestore.lenovo.com/detail/25147
微信输入法,微信输入法是微信官方出品的中文输入法，提供高效的输入体验、精准的推荐策略、多元的创新玩法。</,https://lestore.lenovo.com/detail/L105384
腾讯会议,腾讯会议提供云会议解决方案，满足企业远程沟通的线上会议需求，支持手机/平板/PC多设备端，共享高清桌面，在线文档能力。<br/></,https://lestore.lenovo.com/detail/26218
QQ影像空间专用版,QQ影像是腾讯公司最新推出的一款桌面图片处理软件。以其清爽的界面、简洁轻便的操作，为您提供处理图片一站式体验。打开本地图片，轻松浏览，无干扰看图,https://lestore.lenovo.com/detail/8027
欢乐斗地主（QQ游戏版）,《欢乐斗地主》是腾讯游戏为玩家精心打造的国民级斗地主游戏。 该“欢乐斗地主”是包含斗地主经典玩法、癞子玩法和天地癞子玩法的合集版本，地主与农民的,https://lestore.lenovo.com/detail/570161
微信电脑版,"b style=""""><font color=""#c24f4a"" style=""background-color: rgb(255, 255,",https://lestore.lenovo.com/detail/11488
